Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
SOLIDWORKS: Designing a Stirling Engine,"Expand your SOLIDWORKS 3D CAD skills by learning how to design a machine with moving parts. In this course, learn through designing the components of an early-19th-century rival to the steam engine. Follow along with Johno Ellison as he leads you through the steps for creating a Stirling engine, a closed-cycle heat engine invented by Robert Stirling in 1816. Johno shows how to use SOLIDWORKS to create all the parts, combine the parts into an assembly, and prepare drawings for the final product. Johno also provides tips and ideas for moving the creation from a virtual to physical design.",Course,2022-05-20 15:54 UTC,N/A,false,N/A,
SOLIDWORKS: Drawings,"SOLIDWORKS drawings are more than simple illustrations. Drawings are a critical tool for sharing your design intent with fabricators, clients, and other designers. In this course, you can go way beyond generating basic views of parts by learning how to create drawings from all the data and views available in a SOLIDWORKS model. Find out how to use standard views, add and delete views, derive more complex views such as auxiliary and crop views, and work with all the available dimensioning tools. Instructor David Antanavige also explains how to create and manage title blocks and revision blocks.",Course,2020-11-19 02:40 UTC,N/A,false,N/A,
SQL Server Fundamentals: Master Basic Query Techniques,"Do you want to learn about SQL but aren’t sure where to start? In this beginner-level course, instructor Julianne Thouin covers basic concepts of relational database design and explains how to write simple SELECT statements using joins and proper filtering. Julianne explains what SQL Server is and what it is used for. Next, she shows how tables in a relational database relate to one another through surrogate, primary, and foreign keys. Julianne teaches you how to tackle the most basic query possible. She explains how AND and OR logic applies to filtering queries on more than one data point, then discusses INNER joins and OUTER joins. Julianne covers how to use subqueries for filtering your results. She walks you through some commonly used examples of built-in functions. In conclusion, Julianne shows you how aggregate functions work using the GROUP BY and HAVING clauses.",Course,2022-05-19 00:52 UTC,N/A,false,N/A,
Learning Excel: Data Analysis,"Microsoft Excel is an important tool for data analysis. It helps companies accurately assess situations and make better business decisions. This course helps you unlock the power of your organization's data using the data analysis and visualization tools built into Excel. Author Curt Frye starts with the foundational concepts, including basic calculations such as mean, median, and standard deviation, and provides an introduction to the central limit theorem. He then shows how to visualize data, relationships, and future results with Excel's histograms, graphs, and charts. He also covers testing hypotheses; modeling different data distributions; calculating the covariance and correlation between data sets; and calculating probabilities, combinations, and permutations. Finally, he reviews the process of calculating Bayesian probabilities in Excel. Each chapter includes practical examples that show how to apply the techniques to real-world business problems.",Course,2023-04-01 08:35 UTC,N/A,false,N/A,
Learning Python,"Python—the popular and highly-readable object-oriented language—is both powerful and relatively easy to learn. Whether you're new to programming or an experienced developer, this course can help you get started with Python. Joe Marini provides an overview of the installation process, basic Python syntax, and an example of how to construct and run a simple Python program. Learn to work with dates and times, read and write files, and retrieve and parse HTML, JSON, and XML data from the web.
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2022-06-06 16:02 UTC,N/A,false,N/A,
Business Analysis: Essential Tools and Techniques,"If you do business analysis work and want to see not only what the key deliverables are but also how to deliver them, then this course is for you. This technology-agnostic course employs different technologies to show you how to set up and deliver key business analysis artifacts. Instructor Jamie Champagne highlights traceability as she through the setup and usage of a requirements traceability matrix.  Jamie demonstrates how to model processes by showing you the natural evolution of the degree of detail that happens with business analysis work.  Plus, she explains the power of context diagrams with both basic and detailed data flow diagrams to define and capture the requirements done in business analysis work.",Course,N/A,N/A,true,N/A,
"Power BI Data Visualization and Dashboard Tips, Tricks, & Techniques","Power BI is a software that lets users visualize and report data flexibly and share it in a number of ways. It is rapidly gaining market share, as it is affordable and well-integrated with other Microsoft tools. In this course, instructor Emma Saunders shows you how you can use Power BI to create reports and visualizations with flair and share them easily with colleagues. Emma explains the Power BI app (desktop) and service (web browser). She takes you through a sample report to show how it’s built, then goes over how and why to design and structure a report, including how to structure tabs, how many visuals to put on a page, and how to draw attention to one visual over another. Emma covers more advanced visuals, as well, including statistical diagrams and maps for geographic data. She walks you through how to design reports like a pro in the Power BI service, from basic layouts to choosing specific themes and fonts.",Course,2022-06-05 09:44 UTC,N/A,false,N/A,
SOLIDWORKS: Design for Mechatronics,"SOLIDWORKS is the leading software for mechanical design and engineering. However, it also offers a powerful toolset for generating mechatronic designs, or designs that combine mechanical and electrical components. In this course, Justin Flett teaches the basics of mechatronic design in SOLIDWORKS, walking through a complete, simplified project for a robotic arm. As the project progresses, he examines advanced tools for plastics and casing design, including drafts, shells, ribs, and mounting bosses, which are common elements in mechatronic enclosures and housing. Then Justin shows how to complete assemblies, including integrating imported motors and printed circuit board (PCB) components. Plus, learn how to route cables and wires in your project and generate final output, such as drawing, STEP, and PDF files.",Course,2020-10-26 10:19 UTC,N/A,false,N/A,
Leading with Fearless Mindfulness,"Be a leader that can rise to challenges. Captain Sandra Yawn is a world-renowned captain with over 28 years of experience. Yawn’s love of the ocean propelled her to achieve in a male-dominated industry. In this course, Captain Yawn tells her personal stories and defines the qualities that make up a great captain and overall leader. Discover how to hire and manage teams and how to delegate tasks. Sandy encourages you to create a strong leadership framework so that you can find solutions to the most difficult problems and situations that arise—and understand how to navigate clients to ensure top-level customer service while maintaining your cool. As an exciting bonus element to the course, you can learn about Sandy’s favorite destinations and her go-to travel advice.<br><br>

This course was created by <a href=""https://genconnectu.com/"" target=""_blank"">genconnectU</a>. We are pleased to offer this training in our library.",Course,2021-10-31 08:03 UTC,N/A,false,N/A,
SOLIDWORKS: Modeling a Bicycle,"Cycling is more popular than ever, and many people are opting to build their own frames. Whether you love bikes and you want to build your own frame, or if you just want to practice your own SOLIDWORKS skills in a fun and practical way, join design engineer and avid cyclist Johno Ellison as he shows how to create a rigid bike frame based on real-life frame geometry. He shows how to create the frame, identify off-the-shelf parts such as handlebars, combine them into an assembly, and prepare drawings for the final product. Throughout the course, Johno shows some of the more practical aspects of bike building, as well as how they relate to SOLIDWORKS and CAD in general, giving you a great way to apply your modeling skills.",Course,2021-07-04 04:22 UTC,N/A,false,N/A,
